"","reef.date","biomass","biomass.sd","biomass.ciu","biomass.cil","n","n.sd","n.ciu","n.cil","np","np.sd","np.ciu","np.cil","p","p.sd","p.ciu","p.cil"
"H3_6/22/18","H3_6/22/18",22224.4326257385,5770.63117421763,23355.4555526916,21093.4096987855,10.04071483011,2.13420550886076,10.4590114234074,9.62241823681262,4470.47274537526,711.791091511865,4609.98123576324,4330.96425498729,0.99152430442733,0.230572817796646,1.03671574629686,0.946332862557796
"H5_6/17/18","H5_6/17/18",2921.86877823129,933.806393516569,3104.89146821386,2738.84608824872,1.45090243960203,0.329978042888404,1.51557694757706,1.386227931627,8625.48416868022,688.145570018456,8760.35822201591,8490.61011534452,0.073673218523994,0.0182758106114832,0.0772552115826722,0.0700912254653158
"H2_6/22/18","H2_6/22/18",10404.324987231,3264.55280723693,11044.1655800124,9764.48439444968,5.49495055984757,1.66848501135157,5.82196761294697,5.16793350674817,7628.45579311826,776.900426252671,7780.72547862117,7476.18610761535,0.313383123900147,0.0936061963645109,0.331729601260569,0.295036646539724
"H5_6/5/18","H5_6/5/18",4389.9901371352,2382.77606181295,4857.00566357295,3922.97461069744,1.82376150006375,0.868041906411241,1.99389458742751,1.6536284127,7899.1641498466,449.717426248798,7987.30714571337,7811.02115397983,0.0998800597610586,0.0473828246240436,0.109166922735949,0.0905931967861683
"MOW2_5/20/18","MOW2_5/20/18",1956.2866081225,703.43427774214,2094.15719310905,1818.41602313594,1.73307062431698,0.637268498205425,1.85797295481343,1.60816829382052,6403.76011098206,1449.06799706737,6687.77221952222,6119.7480024419,0.118686884455922,0.0387896704515384,0.126289520161641,0.111084248750203
"LH3_5/21/18","LH3_5/21/18",30302.2781111289,11183.6161977935,32494.2266075883,28110.3296146695,11.8888911111547,4.61042513423596,12.7925178328068,10.9852643895026,6888.42523504903,709.951506487958,7027.57317339766,6749.27729670039,0.732312054645239,0.238005469133882,0.778960269407835,0.685663839882642
"MOW2_5/21/17","MOW2_5/21/17",1013.47755022982,364.401513683329,1084.89893450294,942.056165956704,0.676514200714951,0.172358980056314,0.710295940047195,0.642732461382708,7228.98626560997,657.71090645599,7357.89523449926,7100.07729672068,0.0411823239561843,0.0119763697652058,0.0435296492967181,0.0388349986156505
"H8_6/19/18","H8_6/19/18",685.290489442609,232.269039215891,730.814384601296,639.766594283922,0.399497868694277,0.137237338546473,0.426395892782799,0.372599844605755,7246.02401331704,1967.5525774078,7631.65723225786,6860.39079437621,0.024576514951968,0.00775573122397579,0.0260966103392445,0.0230564195646915
"H1_6/15/18","H1_6/15/18",3934.87928441162,2162.72347155992,4358.76529568931,3510.99327313394,2.02028798171925,0.710386671232568,2.15952121079057,1.88105475264794,4000.21487214855,1149.04357557007,4225.42327462699,3775.0064696701,0.236510591282681,0.099913384577045,0.256093254817132,0.21692792774823
"H6_6/17/18","H6_6/17/18",7734.63109969865,3220.58015792981,8365.85321158532,7103.40898781197,3.78090409283586,1.21224064991592,4.01849889427892,3.5433092913928,7215.64146047147,888.037849833932,7389.69368072976,7041.58924021318,0.226343636631219,0.064538245689486,0.238992900348898,0.21369437291354
"MOW3_5/21/17","MOW3_5/21/17",1218.62001790207,485.095003376776,1313.69689147195,1123.54314433219,0.348056562978936,0.113735510449852,0.370348313403435,0.325764812554437,3759.96013365518,1403.95777795705,4035.13080171625,3484.78946559411,0.0445143999299039,0.0181395884057001,0.0480696939268591,0.0409591059329486
"LH1_5/24/17","LH1_5/24/17",3605.74483237866,540.82267304036,3711.74412849684,3499.74553626048,2.29344131845695,0.303858337844767,2.35299645831475,2.23388617859916,3531.69223570036,851.432743021081,3698.56998685831,3364.81448454242,0.30000325639653,0.0896245087399915,0.317569337322778,0.282437175470282
"H4_6/22/18","H4_6/22/18",11018.2962081141,4950.07525369982,11988.4931299155,10048.0992863126,5.31908993634836,2.02899024947797,5.71676471774434,4.92141515495239,4072.81977251515,858.16256547938,4241.01654463716,3904.62300039314,0.576029093264734,0.217271359389626,0.618613497192307,0.533444689337161
"H6_6/5/18","H6_6/5/18",9252.67661522338,2769.82156922327,9795.55166715136,8709.80156329539,3.76078339838783,1.1536015029105,3.98688513820941,3.53468165856624,4419.76331345919,1439.12459260851,4701.82655053704,4137.70007638133,0.397461165994655,0.145659374159104,0.426009878730904,0.368912453258406
"LH3_5/27/17","LH3_5/27/17",10201.2087717915,3878.38262258891,10961.3577976456,9441.05974593752,4.67914468074145,1.78408639530612,5.02881918875224,4.32947017273066,8132.62391337493,581.702846865062,8246.63557633093,8018.61225041894,0.245822944940374,0.0850183392577932,0.262486233237442,0.229159656643306
"MOW3_5/20/18","MOW3_5/20/18",2180.84024975975,857.770671200955,2348.96021201462,2012.72028750489,0.598239167311819,0.211710898989531,0.639733741027227,0.556744593596411,6062.80231204023,929.901011252344,6245.05956116443,5880.54506291604,0.0446348474828926,0.0192845177084716,0.0484145434996755,0.0408551514661097
"ES1_5/20/18","ES1_5/20/18",5316.38366192527,1810.01551600575,5671.14018420827,4961.62713964228,1.90842654545666,0.711407398391288,2.04785983337488,1.76899325753843,3314.94458141167,806.720551495858,3473.05890406369,3156.83025875966,0.246994003834454,0.0656699561670901,0.259865078729836,0.234122928939072
"MOW1_5/20/18","MOW1_5/20/18",5383.1219622096,2258.99945817437,5825.87772012132,4940.36620429787,2.35451272093774,0.870852802622654,2.52519673383536,2.18382870804012,5994.4178417496,444.298828118453,6081.49881189815,5907.33687160105,0.173847054274825,0.0690950500022068,0.187389435226257,0.160304673323393
"MOW4_5/20/18","MOW4_5/20/18",1333.69744763457,437.575436846868,1419.46065730849,1247.93423796064,0.782314032495201,0.261768966678306,0.833619807191175,0.731008257799227,4144.21269613866,793.562598025684,4299.74810729949,3988.67728497782,0.0868015444812381,0.0366306958665141,0.0939810289439389,0.0796220600185373
"MOW4_5/21/17","MOW4_5/21/17",246.835312882782,119.007463042518,270.160347028264,223.510278737301,0.944972655712806,0.409310494448491,1.02519603847414,0.864749272951474,10762.2190254165,1345.48838899902,11025.929903822,10498.508147011,0.0390800425807779,0.0178006747726311,0.0425689107262647,0.0355911744352911
"LH2_5/21/18","LH2_5/21/18",12328.7280011449,4284.1254880689,13168.4011673314,11489.0548349583,5.24693031682913,1.77703021642845,5.59522183919305,4.89863879446521,7396.74638644154,714.391200718122,7536.76448886952,7256.72828401355,0.304924520151108,0.0911555045424896,0.322790670740693,0.287058369561522
"ES1_5/21/17","ES1_5/21/17",5281.10043033788,4068.56251426558,6078.5240300189,4483.67683065685,4.94254783865841,1.96254099862544,5.32719880620732,4.5578968711095,3102.62594584966,389.049219205748,3178.87819163533,3026.37370006399,0.697160365220069,0.276436866593953,0.751340995472394,0.642979734967743
"MOW1_5/21/17","MOW1_5/21/17",533.423982086159,254.056862440519,583.218212127025,483.629752045293,0.738538871316151,0.240852801950663,0.785745153056037,0.691332589576265,4940.77983884771,2089.20740395416,5350.25696564616,4531.30271204925,0.0760073107245329,0.0395086421831432,0.083750862300237,0.0682637591488289
"LH2_5/24/17","LH2_5/24/17",6801.13732210246,2781.16683012179,7346.23600430607,6256.03863989885,3.13738136561638,1.24863049257769,3.38210844516146,2.8926542860713,7046.06901930309,1052.93870973613,7252.44121420418,6839.696824402,0.187480345552032,0.0563495017757065,0.198524644954748,0.176436046149316
