"","reef","Shoot.growth","C.production","SLA","Seagrass.P","Seagrass.N","Mean.length"
"1","ES1",NA,"0.113429762122656","-0.656530651018697","-0.0350654922859975",NA,NA
"2","ES1","-0.259940069244757","0.105433906801407","-1.28396796871679","-0.0362148675399793",NA,"-6.38259617125249"
"3","ES1","-0.139023767357107","0.00347574321430026","-1.46374780619938","-0.0320880253303858",NA,NA
"4","ES1","-0.13868566536111","0.0807627860162483","-0.524779048948147","-0.0409306043788796",NA,"-6.20293138934733"
"5","ES1","-0.162673413488954","0.0872769380058283","-0.718358867908462","-0.0268316078203605",NA,"-6.2376644133704"
"6","ES1","-0.325534689741528","0.101164930928821","-0.651152889910922","-0.033935272050624",NA,"-6.5871392664743"
"7","ES1","-0.0791507235233875","0.0861106466186581","-1.87527890753423","-0.0199860226427883","0.211217997495393","-7.09851232876069"
"8","ES1","-0.123076893828963","0.0891740727720148","-1.28130442740019","-0.0250675427463673","-0.0325023255809736",NA
"9","ES1","-0.110699020398124","0.169048773461272","-0.651737007443797","-0.0452908564006371",NA,NA
"10","ES1","-0.13750873201601","-0.00651742999390518","-0.341249417421802","-0.0544335485005045","0.493763864889602",NA
"11","H1","0.153406294190439","0.0775397627040293",NA,"-0.0131158580156824",NA,NA
"12","H1","0.0121572522488026",NA,NA,NA,NA,NA
"13","H1","0.0458788223442416","-0.0211270463263579",NA,"-0.00577070240502386",NA,NA
"14","H1",NA,NA,NA,"-0.00934775541546663","0.00777941990240234",NA
"15","H1","-0.0790918886890329",NA,"0.321763089029581","-0.0137911177755278",NA,NA
"16","H1","-0.0729109360957995","-0.0174905985881008",NA,"-0.0177206709712342",NA,NA
"17","H1","0.0399859907794057",NA,NA,"-0.0211225504101733","0.00559373635924579",NA
"18","H1","0.00277899606189127",NA,NA,"-0.0138646432919581",NA,NA
"19","H1",NA,"-0.05495560474994",NA,"-0.0121064145179115",NA,NA
"20","H1","-0.0854315499061862",NA,NA,"-0.0110659520775313",NA,NA
"21","H2","-3.20206813574232","0.00229280710570103","0.273432895861704","-0.00147404533877464",NA,"1.86139317450083"
"22","H2","-3.12458992293771","0.0108683670560646","-0.0250778694898488","-0.0111986137338222","0.0211942707453641","-15.8174307224002"
"23","H2","-1.60355666205955","0.00823670479009812",NA,NA,"-0.0107808181710072",NA
"24","H2","-1.61730116402026","0.0168528372414659","0.199371458851192","-0.00886557484334018",NA,"-13.1499217573225"
"25","H2","-2.9753293650653",NA,NA,"-0.0112881116295644",NA,"-18.2462368260572"
"26","H2","-2.44913273824682",NA,"0.2592125541934","-0.00153156766438236","0.0371740035004","-9.90283415750891"
"27","H2",NA,NA,NA,"-0.0150194617881577",NA,NA
"28","H2","0.180095415067863",NA,NA,"-0.0155016154309368",NA,NA
"29","H2","0.246886447198929",NA,NA,NA,"0.0286349578815087","2.18198173322039"
"30","H2","0.0289456363509588",NA,NA,"-0.00296159362681436","0.0311950487578701",NA
"31","H3","-0.606786359470993",NA,NA,"-0.0139074598095145","-0.175556053396907",NA
"32","H3","-1.00142639389175",NA,NA,"-0.0123457506795352","-0.192810977921597","-3.6565009118867"
"33","H3","-0.82737362731918","-0.0537860935401332",NA,"-0.0090437210735508","-0.193136038211758",NA
"34","H3","-0.754814928852946","-0.142589902878595",NA,"-0.0191868276783163","-0.0751715717584749","-13.1280714804757"
"35","H3","-0.814828915634372","-0.0706111010936596",NA,"-0.0144141410337232","0.0102655874172846",NA
"36","H3","-0.354648297193907",NA,NA,"-0.0110822125443358","-0.170772906320778",NA
"37","H3","-0.742877028298026","-0.207225517387795",NA,"-0.00803542629487459","-0.17461588527611",NA
"38","H3","-0.424035978448046",NA,NA,"-0.0128993121159212","-0.162722924118403",NA
"39","H3","-0.633589987395638",NA,NA,"-0.0106569635524596","-0.147898625099089","-1.95694399361476"
"40","H3","-1.83633701556302","-0.212710819987434",NA,"-0.0138595722488338","-0.0948094789157702",NA
"41","H4","-1.05489920938839",NA,NA,"-0.0109905023840043","-0.103135175692784",NA
"42","H4","-0.613751859865392",NA,NA,"-0.0165222660837858","-0.151270810085157",NA
"43","H4","-0.809385595353164",NA,NA,"-0.010296177308315","-0.115798647973246",NA
"44","H4","-1.17207369608042",NA,NA,"-0.0092420125536645","-0.0994163441509564",NA
"45","H4","-0.288960873324412",NA,NA,"-0.0134429880935365","-0.112150894266354",NA
"46","H4","-0.271667250209859",NA,NA,"-0.00553451399645687","-0.0825941577566987",NA
"47","H4","-0.493446423387305",NA,NA,"-0.010110915376338","-0.114778188153445",NA
"48","H4","-0.708022287149083","-0.036576597808319",NA,"-0.0113102624663405","-0.114548758411077",NA
"49","H4","-0.684734022812778",NA,NA,"-0.013076090437962","-0.116952336139248",NA
"50","H4","-0.560835196211353",NA,NA,"-0.0130527044045109","-0.120620900532996",NA
"51","H5",NA,NA,NA,NA,"-0.0236602219429181","27.5419152625672"
"52","H5",NA,NA,NA,NA,NA,NA
"53","H5",NA,NA,"0.0919978687409194",NA,NA,NA
"54","H5",NA,NA,NA,NA,NA,NA
"55","H5",NA,NA,NA,"-0.0100644933513095",NA,NA
"56","H5",NA,"0.00337747664579302",NA,NA,NA,NA
"57","H5","-0.428572364554563",NA,NA,NA,NA,NA
"58","H5","-0.313119179263982",NA,NA,NA,NA,NA
"59","H5",NA,"0.0560725631649127",NA,NA,NA,NA
"60","H5",NA,NA,"0.204625853144847","0.000857776365808048",NA,"14.1852112529862"
"61","H6","-0.325121535933423","-0.0156287976242901",NA,"-0.0135226516660593","0.00750411964306026","-1.5493206291895"
"62","H6","-0.313360185274387","-0.0127709916638432",NA,NA,"-0.00799805795078034","-2.57004649471314"
"63","H6","-0.727075450016371","-0.0150844410712477",NA,NA,NA,NA
"64","H6","-0.100766262305133","-0.0099585733348226","-0.345304666963703",NA,NA,NA
"65","H6","-0.146754677410378","-0.018797218640237",NA,"-0.0103952331259019","0.00196898708394719",NA
"66","H6","-0.131899932643155","-0.012770894975995",NA,"-0.00533718604642347",NA,NA
"67","H6","-0.202807999534141","-0.0194639492179596","-0.300512565597034","-0.0134160802555449","-0.0163043492393567",NA
"68","H6","-0.320587355763481","-0.0116259335352431",NA,"-0.00116969638982567",NA,NA
"69","H6","-0.132463986277945","-0.0165440489284606","-0.310361901849682",NA,"-0.00421800922686408","-3.59089409831864"
"70","H6","-0.115145892537233","-0.0292351160837828",NA,"-0.0124161826832897",NA,NA
"71","H8",NA,NA,NA,NA,NA,NA
"72","H8","-0.218447283902178","-0.0386333854041676",NA,NA,NA,NA
"73","H8","0.531154627232815",NA,NA,NA,NA,NA
"74","H8",NA,"0.335556391334743",NA,NA,NA,NA
"75","H8",NA,"0.338337869363993",NA,NA,NA,"8.54005330213491"
"76","H8","-0.151440647647842","-0.111907968901108",NA,NA,NA,NA
"77","H8",NA,"-0.0708486518166511",NA,NA,NA,NA
"78","H8",NA,"0.473076919878371",NA,NA,NA,NA
"79","H8",NA,NA,NA,NA,NA,NA
"80","H8",NA,NA,NA,NA,"0.0112657412462977",NA
"81","LH1","-0.669670340989453","-0.0231081854629333","-0.971747981934329","-0.0233406056074145",NA,"-21.9508717958595"
"82","LH1","-0.737003449006119","-0.0349266058349532","-2.03252483092856","-0.0387547157223024",NA,"-29.4806063907838"
"83","LH1","-1.02829668603137","-0.0194315131036006","-0.451906675147558","-0.0189147339130514",NA,"-40.0834920758897"
"84","LH1","-0.955341537547817",NA,"-0.743587827463929","-0.0403542530140253","-0.0423044743354748","-1.41926017527469"
"85","LH1","-0.840610511208812",NA,"-1.06129196271092","-0.0129677253305476","-0.0664238405803808","-16.5033928465153"
"86","LH1","-0.828676482317569","-0.0455342734957235","-0.707394856061198","-0.0242429032372802","-0.0882784378830978","-49.1497406523957"
"87","LH1","-0.856850490796331","-0.0289059476028876","-0.254941468310723","-0.0228253478716353",NA,"-26.7993008509034"
"88","LH1","-0.874221224792232","-0.0257605195961829","-0.700650542609987","-0.013082077542015","-0.0196468468167038","-28.7625554541959"
"89","LH1","-0.492574285790135","-0.0579547019871347","-0.563722259935656","-0.0415819899685115",NA,"-28.2586530909747"
"90","LH1","-0.213771954188607","-0.0258219440549267","-0.548503704741498","-0.0275331262965136","0.00930021494306647","-46.561863742932"
"91","LH2","-1.36020484370077","-0.106817905020748",NA,"-0.0280111763811327","-0.0624000537775401","-68.8459266224989"
"92","LH2","-0.823427112959841","-0.170607686656662","0.461789582613206","-0.0239838831964086","-0.111352335629447","-44.353038478058"
"93","LH2","-1.08088441841792","-0.108771502135248","-1.73773774011626","-0.0212652117650914","-0.0776003714001395","-51.2891534828677"
"94","LH2","-1.45614547469382","-0.0671299523372193","-0.304801590852464","-0.0160443188046642",NA,"-39.4987589270975"
"95","LH2","-1.11061547183772","-0.0697603264600616","-1.49273231742622","-0.0242653697580339","-0.0734578876791376","-49.2517351421181"
"96","LH2","-1.24606956710225","-0.0298026746075447","-0.928647534229791","-0.0256324353996008","-0.000830381554938815","-62.4548432605416"
"97","LH2","-1.31859319950391",NA,"-1.16425478222969","-0.0322997131186868","0.0197774575711114","-69.0717355795522"
"98","LH2","-1.1294554743352","-0.089083691188316","-1.35249885502372","-0.0257507382096067","-0.0075353369336492","-23.5901914113474"
"99","LH2","-1.07253953266086","-0.111215481350254","-1.30305329126875","-0.0342218790278835","-0.0103968205675165","-52.0006225135204"
"100","LH2","-1.98323848760778",NA,"-0.701238417494889","-0.0253010603476558","-0.0731889333506555","-54.4226618216463"
"101","LH3","-0.419731928529848","-0.0142172835867979",NA,"-0.0182581413572286","-0.093472635163031","-5.83925773774654"
"102","LH3","-0.0898225981706867","-0.0119353301673225",NA,"-0.0179356641307314","-0.121526191512341","-1.90425220404467"
"103","LH3","-0.158295063996049","-0.01244153178499",NA,"-0.0125404438706042","0.0136343835678917","-6.61372029136311"
"104","LH3","-0.409515112100801","-0.0461127078816179",NA,"-0.0182910214331789",NA,"-4.09646496714641"
"105","LH3","-0.408373078679395","-0.00858288045081867","-0.107411292473716","-0.0221053637106437","-0.123429412051504","-2.27213377768535"
"106","LH3","-0.279382551541301","-0.0656731188138078",NA,"-0.019253034717655","0.0126002990316343","-3.5373031502453"
"107","LH3","-0.629062287637107","-0.0131738762935408","-0.234811465410272","-0.0197064113702743","-0.177601751978064","-3.26041069463649"
"108","LH3","-0.310263774990828","-0.00687328002553395","-0.246775093959801","-0.0235681466299976","0.0148406399113183","-3.06963259271745"
"109","LH3","-0.487508676626413","-0.014307867899332","-0.23636900361374","-0.0154798567181606","-0.163367190476855","-2.50890477530065"
"110","LH3","-0.484354582775162","-0.0288576738514958",NA,"-0.0140770872075364",NA,"-2.52487626166736"
"111","MOW1","-0.214913344794921",NA,"-0.314349897575942","-0.0182318644077189",NA,"-4.05237603787443"
"112","MOW1","-0.43158362685863",NA,"-0.174530447481836","-0.0173715088852683","-0.0413678613759655","-4.81992229467412"
"113","MOW1","-0.586356741566709",NA,"-0.356533543669148","-0.0228826046529019","-0.0325898855493002","-3.58603890852906"
"114","MOW1",NA,NA,"-0.582381425036959","-0.028008085970109","-0.0418497508967521","-2.02046066091607"
"115","MOW1","-0.385493177746301",NA,"-0.697581245122346","-0.0242306691729343","-0.165348250665243","-2.0546863151497"
"116","MOW1","-0.0651699472383951",NA,"-0.500986887017359","-0.0172162734552866",NA,"-5.25769143906048"
"117","MOW1",NA,NA,"-0.216098668104831","-0.0231279561973853","-0.0320374237475213","-3.24436460341086"
"118","MOW1","-0.157547266681519","0.0128270132786114","-0.179184111597463","-0.0167623771809073",NA,"-3.26003445889672"
"119","MOW1","-0.106931151599806",NA,"-0.139703417301818","-0.0207499997743409",NA,"-5.5014866539658"
"120","MOW1","-0.207294655033974",NA,"-0.365827369933","-0.022107412952685","-0.11807608517978",NA
"121","MOW2","-0.443102240463151",NA,"-1.12364127365801","-0.0177221583668672",NA,NA
"122","MOW2","-0.332838607680657","0.0021610618194688","0.019955825146215","-0.0139192311813617","-0.056639232837856","-18.2206645609305"
"123","MOW2","-0.54088231215852",NA,"-1.3755040161056","-0.0168902058917481",NA,NA
"124","MOW2","-0.431922082623858",NA,"-1.48606614864797","-0.0217160378858615",NA,NA
"125","MOW2","-0.641429229640609",NA,"-1.19494636609038","-0.0221462987732122",NA,NA
"126","MOW2","-0.474342954713576",NA,"-1.00428877166048","-0.0137222365070101",NA,"-12.4013942747294"
"127","MOW2",NA,NA,"-1.60982343925669","-0.0167395399419344","-0.18600186789238",NA
"128","MOW2","-0.462450220704415","-0.00473291297166332","-1.4981749610774","-0.00825780159349724",NA,"-9.81145277723493"
"129","MOW2","-0.429758498474748",NA,"-2.03408428097769","-0.0234648407970092",NA,NA
"130","MOW2","-0.760625959764265",NA,"-1.88332548554407","-0.0167499824422819",NA,NA
"131","MOW3",NA,NA,"-0.329274939694507","-0.0058463294661128","-0.0495501837994583",NA
"132","MOW3",NA,"-0.0170585513990709","-0.969182030509066","-0.00554200264925541",NA,NA
"133","MOW3",NA,NA,"-0.0758620422321695","-0.00489821350239991",NA,"-3.83983875164596"
"134","MOW3","-0.306096457586509",NA,"-0.865347853273709","-0.00538253853924855","-0.0516661500907012",NA
"135","MOW3",NA,NA,NA,"-0.00601483843806643",NA,"-10.6715350881248"
"136","MOW3","-0.0677596478085987",NA,"-0.649258119994844","-0.00709165044422374",NA,NA
"137","MOW3",NA,NA,"-1.32738527322556","-0.00407105875911885","-0.0394249267067158","-15.0793999868317"
"138","MOW3",NA,"-0.0137501807586145",NA,"-0.00876200584888519",NA,"-11.9854400574656"
"139","MOW3",NA,NA,"-0.0991399184138065","-0.00689252635928217",NA,NA
"140","MOW3",NA,NA,"-0.685750443892961","-0.00865242582481751","-0.0198225216349101","-10.9982348399804"
