"","reef.date","biomass","biomass.sd","biomass.ciu","biomass.cil","n","n.sd","n.ciu","n.cil","p","p.sd","p.ciu","p.cil"
"H3_6/22/18","H3_6/22/18",21141.6303958068,5307.44196087564,22181.8699051421,20101.3908864715,9.59268541841354,1.93296899932641,9.97154038060476,9.21383045622232,0.933019752569332,0.247751203614263,0.981578096190372,0.884461408948291
"H5_6/17/18","H5_6/17/18",2692.09092283578,1043.9855237966,2896.70832553803,2487.47352013353,1.40398075147431,0.36794694077849,1.47609702668906,1.33186447625956,0.0692865044340225,0.0209518234206369,0.0733929863655116,0.0651800225025334
"H2_6/22/18","H2_6/22/18",9968.90030832932,3592.30250133153,10672.9786607476,9264.82195591102,5.28287572402735,1.85553510029905,5.64655392089096,4.91919752716375,0.305261054938869,0.0977978572363546,0.324429082733714,0.286093027144025
"H5_6/5/18","H5_6/5/18",3903.16944116573,2306.47203873402,4355.22965389246,3451.10922843899,1.66231052136135,0.809424358223438,1.82095478039409,1.50366626232862,0.0898222070843757,0.0448580777274576,0.0986142287605273,0.0810301854082242
"MOW2_5/20/18","MOW2_5/20/18",1951.05385276295,654.487246242763,2079.33099586061,1822.77670966529,1.59115093967877,0.513619210765607,1.69181845516562,1.49048342419192,0.112343525694396,0.0319676905642958,0.11860907791189,0.106077973476901
"LH3_5/21/18","LH3_5/21/18",29916.8618924176,9982.89747535217,31873.4738437222,27960.2499411129,11.6871701294221,4.08806548084445,12.4884162403118,10.8859240185325,0.729346468784864,0.217131956032232,0.771903550156455,0.686789387413273
"MOW2_5/21/17","MOW2_5/21/17",1076.70989072931,372.102485609809,1149.64063776461,1003.779143694,0.692658708403139,0.159424560127913,0.723905348013324,0.661412068792954,0.0427339252333672,0.0117034185279395,0.0450277531144432,0.0404400973522912
"H8_6/19/18","H8_6/19/18",697.498051120835,279.628614225699,752.304252413757,642.691849827914,0.392462888762065,0.156983902537647,0.423231168274698,0.361694609249432,0.0252629776967751,0.00760216405745521,0.0267529744724928,0.0237729809210574
"H1_6/15/18","H1_6/15/18",3850.16812028962,2011.21987364854,4244.35997202385,3455.97626855538,1.98529408766001,0.718057685477481,2.12603080789581,1.8445573674242,0.230869519980235,0.103911880170877,0.251235874250311,0.210503165710159
"H6_6/17/18","H6_6/17/18",7116.69169117765,2746.50289617639,7654.99636717172,6578.38701518358,3.53743910272948,1.09263405291333,3.7515914419287,3.32328676353027,0.216343283155738,0.0574282955105647,0.227599022245161,0.205087544066315
"MOW3_5/21/17","MOW3_5/21/17",1234.35516595453,475.268273558524,1327.50603587145,1141.2042960376,0.347349286130567,0.115807540354832,0.370047146953931,0.324651425307203,0.0468625155420756,0.0173955639616943,0.0502719834276439,0.0434530476565072
"LH1_5/24/17","LH1_5/24/17",3618.15264429974,529.314152770861,3721.89631189356,3514.40897670592,2.30439645968113,0.308452980947081,2.36485213303916,2.2439407863231,0.309456159050274,0.093952465565051,0.327870503926898,0.29104181417365
"H4_6/22/18","H4_6/22/18",10856.567306681,4111.01328901338,11662.3111053242,10050.8235080378,5.13697018012163,1.58061275964401,5.4467645883623,4.82717577188095,0.534158609297832,0.173547586533446,0.568173311218772,0.500143907376891
"H6_6/5/18","H6_6/5/18",9983.19922500504,3027.89490191484,10576.6557206776,9389.74272933249,4.07036924637164,1.3143824615666,4.32798347502981,3.81275501771348,0.412860041851253,0.147789137120495,0.441826180457495,0.383893903245011
"LH3_5/27/17","LH3_5/27/17",10622.4121527251,4162.92916666195,11438.33127641,9806.49302904024,4.86934354943006,1.92168397646031,5.24598668778305,4.49270041107707,0.25571753261923,0.0926096040268031,0.273868681470735,0.237566383767725
"MOW3_5/20/18","MOW3_5/20/18",2094.03602149421,802.136212552968,2251.25183022413,1936.82021276429,0.580036407780756,0.199250178079372,0.619088725075632,0.540984090485879,0.0427779593805275,0.0176584427108652,0.0462389505541634,0.0393169682068915
"ES1_5/20/18","ES1_5/20/18",5179.13175403885,1908.27189171959,5553.1461720869,4805.11733599079,1.85243591896986,0.707959197779073,1.99119337198694,1.71367846595277,0.243907773333496,0.0672384434162986,0.257086266080744,0.230729280586248
"MOW1_5/20/18","MOW1_5/20/18",4808.32355495798,2312.64789343529,5261.59421296354,4355.05289695242,2.15402840358117,0.886510084794931,2.32778118739413,1.98027561976821,0.156712994032218,0.0710649819490817,0.170641474550437,0.142784513513999
"MOW4_5/20/18","MOW4_5/20/18",1273.02127945106,381.175636622598,1347.73033140751,1198.31222749462,0.770569332922267,0.238722582920273,0.817358099404279,0.723780566440256,0.0861442595026269,0.0362860329490336,0.0932561912748208,0.0790323277304329
"MOW4_5/21/17","MOW4_5/21/17",260.558371929754,149.015084582063,289.764791823157,231.351952036351,0.800392256230995,0.406094541712454,0.879985323838466,0.720799188623524,0.0337942746522995,0.0168415984433469,0.0370951672914041,0.0304933820131949
"LH2_5/21/18","LH2_5/21/18",13066.429307431,5032.18804850543,14052.7200412813,12080.1385735806,5.56113405397053,2.08950313048489,5.97066914210394,5.15159896583713,0.315674539172939,0.108333212770906,0.336907458708988,0.29444161963689
"ES1_5/21/17","ES1_5/21/17",5707.81494092144,4090.86635043455,6509.61001216329,4906.01986967959,5.07476245275014,1.96877226014404,5.46063472511452,4.68889018038576,0.693371620839976,0.273591553836703,0.746994580039405,0.639748661640547
"MOW1_5/21/17","MOW1_5/21/17",509.206292051134,228.450778389591,553.981821839508,464.43076226276,0.677987009870886,0.251133617488019,0.727208294429263,0.628765725312508,0.0718758566109866,0.0321773755995535,0.0781825063402009,0.0655692068817724
"LH2_5/24/17","LH2_5/24/17",7304.52527418447,2491.19052135833,7792.78964423345,6816.26090413548,3.36770967723148,1.11368889364518,3.58598868938416,3.1494306650788,0.197944145610993,0.0500012181737881,0.207744204291368,0.188144086930617
